name,latitude,longitude,kategori,kecamatan,kelurahan
SD Negeri Krembangan Selatan X,-7.23329305,112.7317304,pendidikan,Krembangan,Krembangan Selatan
SD Negeri Krembangan Selatan IX,-7.232866835,112.7318634,pendidikan,Krembangan,Krembangan Selatan
TK dan SD Al Falah,-7.304892316,112.7784204,pendidikan,Sukolilo,Medokan Semampir
MTs Negeri 1 Surabaya,-7.308102617,112.7863772,pendidikan,Sukolilo,Medokan Semampir
Sekolah Alam Insan Mulia,-7.307420552,112.7883741,pendidikan,Sukolilo,Medokan Semampir
SMP Negeri 30 Surabaya,-7.306948384,112.7901599,pendidikan,Sukolilo,Medokan Semampir
SMA Negeri 20 Surabaya,-7.307117485,112.7892192,pendidikan,Sukolilo,Medokan Semampir
SD Juara,-7.3088515,112.7817548,pendidikan,Sukolilo,Medokan Semampir
SMK Kesehatan Surabaya,-7.308366502,112.7838237,pendidikan,Sukolilo,Medokan Semampir
SD Negeri Jagir I nomor 393,-7.304626624,112.7526726,pendidikan,Wonokromo,Jagir
SD RA Kartini,-7.303555305,112.7476091,pendidikan,Wonokromo,Jagir
SMA Negeri 7 Surabaya,-7.247919608,112.7526898,pendidikan,Genteng,Kapasari
SMA Kristen Petra 3,-7.249413772,112.7475467,pendidikan,Genteng,Kapasari
KB-TK-SD Kristen Petra 7,-7.24924608,112.7480463,pendidikan,Genteng,Kapasari
SD Negeri Kapasari I,-7.247130225,112.7499003,pendidikan,Genteng,Kapasari
SMK Farmasi Surabaya,-7.247717557,112.7501646,pendidikan,Genteng,Kapasari
SD Negeri Sidotopo I-II-III & VIII,-7.230168494,112.7527726,pendidikan,Semampir,Sidotopo
SMP-SMA Unggulan Abu Syamsuddin,-7.230990783,112.7510873,pendidikan,Semampir,Sidotopo
SD Negeri Sidotopo IV,-7.231707625,112.7493079,pendidikan,Semampir,Sidotopo
SMP Kemala Bhayangkari 8,-7.23243304,112.7538079,pendidikan,Semampir,Sidotopo
TK - MI Sabilil Muhtadin,-7.229365431,112.753928,pendidikan,Semampir,Sidotopo
TK-SD Ibnu Husain,-7.230477366,112.749947,pendidikan,Semampir,Sidotopo
SD Negeri Tanah Kali Kedinding 1,-7.229058234,112.7800614,pendidikan,Kenjeran,Tanah Kali Kedinding
Pondok Persantren Putri Nu,-7.305933648,112.7354612,pendidikan,Wonokromo,Wonokromo
SD Negeri Tanah Kali Kedinding V dan VII,-7.226148546,112.768617,pendidikan,Kenjeran,Tanah Kali Kedinding
Yayasan Pendidikan Islam Al Masyitoh,-7.215277339,112.7592819,pendidikan,Semampir,Wonokusumo
SMP Muhammadiyah 15 Surabaya,-7.231982006,112.7647106,pendidikan,Kenjeran,Sidotopo Wetan
Yayasan pendidikan KB-TK-SD-SMP Taman Belajar,-7.231383854,112.7740207,pendidikan,Kenjeran,Tanah Kali Kedinding
